,iter,best_fitness,time,
0,1,0.20600000000000002,1606124109.470489,
1,2,0.20600000000000002,1606124274.8214426,
2,3,0.20600000000000002,1606124433.5864055,
3,4,0.068,1606124620.042904,
4,5,0.068,1606124778.5075045,
5,6,0.068,1606124926.08464,
6,7,0.068,1606125079.2606375,
7,8,0.068,1606125254.51407,
8,9,0.068,1606125407.0311646,
9,10,0.068,1606125635.121388,
10,11,0.068,1606125853.431075,
11,12,0.068,1606126057.145049,
12,13,0.068,1606126263.3752131,
13,14,0.068,1606126544.615365,
14,15,0.068,1606127204.8798025,
15,16,0.068,1606127445.869029,
16,17,0.068,1606127661.4031544,
17,18,0.068,1606127881.2686,
18,19,0.068,1606128117.018492,
19,20,0.068,1606128331.0786834,
20,21,0.068,1606128629.996624,
21,22,0.068,1606128890.3924713,
22,23,0.068,1606129160.3870316,
23,24,0.068,1606129444.0878556,
24,25,0.068,1606129699.055619,
25,26,0.068,1606129895.3191965,
26,27,0.068,1606129984.5495672,
27,28,0.068,1606130236.4313064,
28,29,0.068,1606130510.4090152,
29,30,0.068,1606130764.704742,
30,31,0.068,1606131047.3676019,
31,32,0.068,1606131337.5617056,
32,33,0.068,1606131626.983647,
33,34,0.068,1606131931.188834,
